Ab-Datum;Ab-Zeit;Profilwert
01.01.2024;00:00:00;0,023694512
01.01.2024;00:15:00;0,022848912
01.01.2024;00:30:00;0,021983059
01.01.2024;00:45:00;0,020847575
01.01.2024;01:00:00;0,019837413
01.01.2024;01:15:00;0,018828516
01.01.2024;01:30:00;0,01802469
01.01.2024;01:45:00;0,017489228
01.01.2024;02:00:00;0,017803164
01.01.2024;02:15:00;0,017928485
01.01.2024;02:30:00;0,018196848
01.01.2024;02:45:00;0,018506986
01.01.2024;03:00:00;0,01897156
01.01.2024;03:15:00;0,019466514
01.01.2024;03:30:00;0,019980456
01.01.2024;03:45:00;0,020486803
01.01.2024;04:00:00;0,021157713
01.01.2024;04:15:00;0,021764064
01.01.2024;04:30:00;0,022507128
01.01.2024;04:45:00;0,022861571
01.01.2024;05:00:00;0,022893218
01.01.2024;05:15:00;0,022761567
01.01.2024;05:30:00;0,022733718
01.01.2024;05:45:00;0,02344387
01.01.2024;06:00:00;0,024154022
01.01.2024;06:15:00;0,023645143
01.01.2024;06:30:00;0,024083133
01.01.2024;06:45:00;0,024579354
01.01.2024;07:00:00;0,025467993
01.01.2024;07:15:00;0,02658702
01.01.2024;07:30:00;0,028359235
01.01.2024;07:45:00;0,030021319
01.01.2024;08:00:00;0,032468241
01.01.2024;08:15:00;0,035122766
01.01.2024;08:30:00;0,037546902
01.01.2024;08:45:00;0,039582418
01.01.2024;09:00:00;0,041382482
01.01.2024;09:15:00;0,042988868
01.01.2024;09:30:00;0,044637027
01.01.2024;09:45:00;0,04580036
01.01.2024;10:00:00;0,046849764
01.01.2024;10:15:00;0,047971323
01.01.2024;10:30:00;0,049129592
01.01.2024;10:45:00;0,050310647
01.01.2024;11:00:00;0,051392963
01.01.2024;11:15:00;0,052879092
01.01.2024;11:30:00;0,053720894
01.01.2024;11:45:00;0,054072805
01.01.2024;12:00:00;0,053889255
01.01.2024;12:15:00;0,05385381
01.01.2024;12:30:00;0,053085429
01.01.2024;12:45:00;0,051691708
01.01.2024;13:00:00;0,050941049
01.01.2024;13:15:00;0,049566316
01.01.2024;13:30:00;0,048886545
01.01.2024;13:45:00;0,04814981
01.01.2024;14:00:00;0,04740548
01.01.2024;14:15:00;0,046415572
01.01.2024;14:30:00;0,046002899
01.01.2024;14:45:00;0,045659849
01.01.2024;15:00:00;0,0454206
01.01.2024;15:15:00;0,0452611
01.01.2024;15:30:00;0,045845931
01.01.2024;15:45:00;0,045756055
01.01.2024;16:00:00;0,046138347
01.01.2024;16:15:00;0,046699126
01.01.2024;16:30:00;0,047697896
01.01.2024;16:45:00;0,049652395
01.01.2024;17:00:00;0,051703101
01.01.2024;17:15:00;0,05316771
01.01.2024;17:30:00;0,054074071
01.01.2024;17:45:00;0,054814604
01.01.2024;18:00:00;0,05523867
01.01.2024;18:15:00;0,055437411
01.01.2024;18:30:00;0,055263987
01.01.2024;18:45:00;0,054907012
01.01.2024;19:00:00;0,053909509
01.01.2024;19:15:00;0,052805672
01.01.2024;19:30:00;0,051638542
01.01.2024;19:45:00;0,050711927
01.01.2024;20:00:00;0,049942279
01.01.2024;20:15:00;0,048585269
01.01.2024;20:30:00;0,047145977
01.01.2024;20:45:00;0,04587378
01.01.2024;21:00:00;0,047202941
01.01.2024;21:15:00;0,047800431
01.01.2024;21:30:00;0,047056101
01.01.2024;21:45:00;0,044291446
01.01.2024;22:00:00;0,035025294
01.01.2024;22:15:00;0,032664451
01.01.2024;22:30:00;0,029693459
01.01.2024;22:45:00;0,027442746
01.01.2024;23:00:00;0,027666805
01.01.2024;23:15:00;0,02612118
01.01.2024;23:30:00;0,024528719
01.01.2024;23:45:00;0,022645108
02.01.2024;00:00:00;0,019002995
02.01.2024;00:15:00;0,017719985
02.01.2024;00:30:00;0,016700677
02.01.2024;00:45:00;0,0157156
02.01.2024;01:00:00;0,0150424
02.01.2024;01:15:00;0,014541621
02.01.2024;01:30:00;0,014250027
02.01.2024;01:45:00;0,014267777
02.01.2024;02:00:00;0,014906746
02.01.2024;02:15:00;0,01535301
02.01.2024;02:30:00;0,015828433
02.01.2024;02:45:00;0,016326677
02.01.2024;03:00:00;0,016898453
02.01.2024;03:15:00;0,017514602
02.01.2024;03:30:00;0,018190337
02.01.2024;03:45:00;0,018881286
02.01.2024;04:00:00;0,019719299
02.01.2024;04:15:00;0,020566187
02.01.2024;04:30:00;0,02154239
02.01.2024;04:45:00;0,022338566
02.01.2024;05:00:00;0,023433942
02.01.2024;05:15:00;0,024520443
02.01.2024;05:30:00;0,026367622
02.01.2024;05:45:00;0,029315248
02.01.2024;06:00:00;0,032262873
02.01.2024;06:15:00;0,033894527
02.01.2024;06:30:00;0,035943285
02.01.2024;06:45:00;0,037605366
02.01.2024;07:00:00;0,037971759
02.01.2024;07:15:00;0,037203475
02.01.2024;07:30:00;0,035893841
02.01.2024;07:45:00;0,034528425
02.01.2024;08:00:00;0,033332893
02.01.2024;08:15:00;0,032136094
02.01.2024;08:30:00;0,031015362
02.01.2024;08:45:00;0,030252149
02.01.2024;09:00:00;0,029784332
02.01.2024;09:15:00;0,029605573
02.01.2024;09:30:00;0,0297108
02.01.2024;09:45:00;0,029671498
02.01.2024;10:00:00;0,029781797
02.01.2024;10:15:00;0,029916183
02.01.2024;10:30:00;0,030017607
02.01.2024;10:45:00;0,030153261
02.01.2024;11:00:00;0,030596989
02.01.2024;11:15:00;0,031398237
02.01.2024;11:30:00;0,032106934
02.01.2024;11:45:00;0,032797883
02.01.2024;12:00:00;0,033843815
02.01.2024;12:15:00;0,034908764
02.01.2024;12:30:00;0,035167394
02.01.2024;12:45:00;0,035584499
02.01.2024;13:00:00;0,036560702
02.01.2024;13:15:00;0,036968932
02.01.2024;13:30:00;0,037164173
02.01.2024;13:45:00;0,037242776
02.01.2024;14:00:00;0,036717909
02.01.2024;14:15:00;0,035993997
02.01.2024;14:30:00;0,035569285
02.01.2024;14:45:00;0,034856784
02.01.2024;15:00:00;0,034401645
